class id,labels,scientific name
0,ABBOTTS BABBLER,MALACOCINCLA ABBOTTI
1,ABBOTTS BOOBY,PAPASULA ABBOTTI
2,ABYSSINIAN GROUND HORNBILL,BUCORVUS ABYSSINICUS
3,AFRICAN CROWNED CRANE,BALEARICA REGULORUM
4,AFRICAN EMERALD CUCKOO,CHRYSOCOCCYX CUPREUS
5,AFRICAN FIREFINCH,LAGONOSTICTA RUBRICATA
6,AFRICAN OYSTER CATCHER,HAEMATOPUS MOQUINI
7,AFRICAN PIED HORNBILL,TOCKUS FASCIATUS
8,AFRICAN PYGMY GOOSE,NETTAPUS AURITUS
9,ALBATROSS,DIOMEDEIDAE
10,ALBERTS TOWHEE,PIPILO ABERTI
11,ALEXANDRINE PARAKEET,PSITTACULA EUPATRIA
12,ALPINE CHOUGH,PYRRHOCORAX GRACULUS
13,ALTAMIRA YELLOWTHROAT,GEOTHLYPIS FLAVOVELATA
14,AMERICAN AVOCET,PSITTACULA EUPATRIA
15,AMERICAN BITTERN,BOTAURUS LENTIGINOSUS
16,AMERICAN COOT,FULICA AMERICANA
17,AMERICAN FLAMINGO,PHOENICOPTERUS RUBER
18,AMERICAN GOLDFINCH,SPINUS TRISTIS
19,AMERICAN KESTREL,FALCO SPARVERIUS
20,AMERICAN PIPIT,ANTHUS RUBESCENS
21,AMERICAN REDSTART,SETOPHAGA RUTICILLA
22,AMERICAN ROBIN,TURDUS MIGRATORIUS
23,AMERICAN WIGEON,MARECA AMERICANA
24,AMETHYST WOODSTAR,CALLIPHLOX AMETHYSTINA
25,ANDEAN GOOSE,CHLOEPHAGA MELANOPTERA
26,ANDEAN LAPWING,VANELLUS RESPLENDENS
27,ANDEAN SISKIN,SPINUS SPINESCENS
28,ANHINGA,ANHINGA ANHINGA
29,ANIANIAU,MAGUMMA PARVA
30,ANNAS HUMMINGBIRD,CALYPTE ANNA
31,ANTBIRD,THAMNOPHILIDAE
32,ANTILLEAN EUPHONIA,EUPHONIA MUSICA
33,APAPANE,HIMATIONE SANGUINEA
34,APOSTLEBIRD,STRUTHIDEA CINEREA
35,ARARIPE MANAKIN,ANTILOPHIA BOKERMANNI
36,ASHY STORM PETREL,OCEANODROMA HOMOCHROA
37,ASHY THRUSHBIRD,GEOKICHLA CINEREA
38,ASIAN CRESTED IBIS,NIPPONIA NIPPON
39,ASIAN DOLLARD BIRD,EURYSTOMUS ORIENTALIS
40,ASIAN GREEN BEE EATER,MEROPS ORIENTALIS
41,ASIAN OPENBILL STORK,ANASTOMUS OSCITANS
42,AUCKLAND SHAQ,LEUCOCARBO COLENSOI
43,AUSTRAL CANASTERO,ASTHENES ANTHOIDES
44,AUSTRALASIAN FIGBIRD,SPHECOTHERES VIEILLOTI
45,AVADAVAT,AMANDAVA AMANDAVA
46,AZARAS SPINETAIL,SYNALLAXIS AZARAE
47,AZURE BREASTED PITTA,PITTA STEERII
48,AZURE JAY,CYANOCORAX CAERULEUS
49,AZURE TANAGER,THRAUPIS CYANOPTERA
50,AZURE TIT,CYANISTES CYANUS
51,BAIKAL TEAL,ANAS FORMOSA
52,BALD EAGLE,HALIAEETUS LEUCOCEPHALUS
53,BALD IBIS,GERONTICUS EREMITA
54,BALI STARLING,LEUCOPSAR ROTHSCHILDI
55,BALTIMORE ORIOLE,ICTERUS GALBULA
56,BANANAQUIT,COEREBA FLAVEOLA
57,BAND TAILED GUAN,PENELOPE ARGYROTIS
58,BANDED BROADBILL,EURYLAIMUS JAVANICUS
59,BANDED PITA,HYDRORNIS GUAJANA
60,BANDED STILT,CLADORHYNCHUS LEUCOCEPHALUS
61,BAR-TAILED GODWIT,LIMOSA LAPPONICA
62,BARN OWL,TYTO ALBA
63,BARN SWALLOW,HIRUNDO RUSTICA
64,BARRED PUFFBIRD,NYSTALUS RADIATUS
65,BARROWS GOLDENEYE,BUCEPHALA ISLANDICA
66,BAY-BREASTED WARBLER,SETOPHAGA CASTANEA
67,BEARDED BARBET,LYBIUS DUBIUS
68,BEARDED BELLBIRD,PROCNIAS AVERANO
69,BEARDED REEDLING,PANURUS BIARMICUS
70,BELTED KINGFISHER,MEGACERYLE ALCYON
71,BIRD OF PARADISE,STRELITZIA
72,BLACK AND YELLOW BROADBILL,EURYLAIMUS OCHROMALUS
73,BLACK BAZA,AVICEDA LEUPHOTES
74,BLACK COCKATO,CALYPTORHYNCHUS LATIROSTRIS
75,BLACK FACED SPOONBILL,PLATALEA MINOR
76,BLACK FRANCOLIN,FRANCOLINUS FRANCOLINUS
77,BLACK HEADED CAIQUE,PIONITES MELANOCEPHALUS
78,BLACK NECKED STILT,HIMANTOPUS MEXICANUS
79,BLACK SKIMMER,RYNCHOPS NIGER
80,BLACK SWAN,CYGNUS ATRATUS
81,BLACK TAIL CRAKE,AMAURORNIS BICOLOR
82,BLACK THROATED BUSHTIT,AEGITHALOS CONCINNUS
83,BLACK THROATED HUET,PTEROPTOCHOS TARNII
84,BLACK THROATED WARBLER,SETOPHAGA CAERULESCENS
85,BLACK VENTED SHEARWATER,PUFFINUS OPISTHOMELA
86,BLACK VULTURE,CORAGYPS ATRATUS
87,BLACK-CAPPED CHICKADEE,POECILE ATRICAPILLUS
88,BLACK-NECKED GREBE,PODICEPS NIGRICOLLIS
89,BLACK-THROATED SPARROW,AMPHISPIZA BILINEATA
90,BLACKBURNIAM WARBLER,SETOPHAGA FUSCA
91,BLONDE CRESTED WOODPECKER,CELEUS FLAVESCENS
92,BLOOD PHEASANT,ITHAGINIS CRUENTUS
93,BLUE COAU,COUA CAERULEA
94,BLUE DACNIS,DACNIS CAYANA
95,BLUE GRAY GNATCATCHER,POLIOPTILA CAERULEA
96,BLUE GROSBEAK,PASSERINA CAERULEA
97,BLUE GROUSE,DENDRAGAPUS OBSCURUS
98,BLUE HERON,ARDEA HERODIAS
99,BLUE MALKOHA,CEUTHMOCHARES AEREUS
100,BLUE THROATED TOUCANET,AULACORHYNCHUS CAERULEOGULARIS
101,BOBOLINK,DOLICHONYX ORYZIVORUS
102,BORNEAN BRISTLEHEAD,PITYRIASIS GYMNOCEPHALA
103,BORNEAN LEAFBIRD,CHLOROPSIS KINABALUENSIS
104,BORNEAN PHEASANT,POLYPLECTRON SCHLEIERMACHERI
105,BRANDT CORMARANT,PHALACROCORAX PENICILLATUS
106,BREWERS BLACKBIRD,EUPHAGUS CYANOCEPHALUS
107,BROWN CREPPER,CERTHIA AMERICANA
108,BROWN HEADED COWBIRD,MOLOTHRUS ATER
109,BROWN NOODY,ANOUS STOLIDUS
110,BROWN THRASHER,TOXOSTOMA RUFUM
111,BUFFLEHEAD,BUCEPHALA ALBEOLA
112,BULWERS PHEASANT,LOPHURA BULWERI
113,BURCHELLS COURSER,CURSORIUS RUFUS
114,BUSH TURKEY,ALECTURA LATHAMI
115,CAATINGA CACHOLOTE,PSEUDOSEISURA CRISTAT
116,CABOTS TRAGOPAN,TRAGOPAN CABOTI
117,CACTUS WREN,CAMPYLORHYNCHUS BRUNNEICAPILLUS
118,CALIFORNIA CONDOR,GYMNOGYPS CALIFORNIANUS
119,CALIFORNIA GULL,LARUS CALIFORNICUS
120,CALIFORNIA QUAIL,CALLIPEPLA CALIFORNICA
121,CAMPO FLICKER,COLAPTES CAMPESTRIS
122,CANARY,SERINUS CANARIA DOMESTICA
123,CANVASBACK,AYTHYA VALISINERIA
124,CAPE GLOSSY STARLING,LAMPROTORNIS NITENS
125,CAPE LONGCLAW,MACRONYX CAPENSIS
126,CAPE MAY WARBLER,SETOPHAGA TIGRINA
127,CAPE ROCK THRUSH,MONTICOLA RUPESTRIS
128,CAPPED HERON,PILHERODIUS PILEATUS
129,CAPUCHINBIRD,PERISSOCEPHALUS TRICOLOR
130,CARMINE BEE-EATER,MEROPS NUBICOIDES
131,CASPIAN TERN,HYDROPROGNE CASPIA
132,CASSOWARY,CASUARIUS
133,CEDAR WAXWING,BOMBYCILLA CEDRORUM
134,CERULEAN WARBLER,SETOPHAGA CERULEA
135,CHARA DE COLLAR,CYANOLYCA ARMILLATA
136,CHATTERING LORY,LORIUS GARRULUS
137,CHESTNET BELLIED EUPHONIA,EUPHONIA PECTORALIS
138,CHESTNUT WINGED CUCKOO, CLAMATOR COROMANDUS
139,CHINESE BAMBOO PARTRIDGE,BAMBUSICOLA THORACICUS
140,CHINESE POND HERON,ARDEOLA BACCHUS
141,CHIPPING SPARROW,SPIZELLA PASSERINA
142,CHUCAO TAPACULO,SCELORCHILUS RUBECULA
143,CHUKAR PARTRIDGE,ALECTORIS CHUKAR
144,CINNAMON ATTILA,ATTILA CINNAMOMEUS
145,CINNAMON FLYCATCHER,PYRRHOMYIAS CINNAMOMEUS
146,CINNAMON TEAL,ANAS CYANOPTERA
147,CLARKS GREBE,AECHMOPHORUS CLARKII
148,CLARKS NUTCRACKER,NUCIFRAGA COLUMBIANA
149,COCK OF THE  ROCK,RUPICOLA
150,COCKATOO,CACATUIDAE
151,COLLARED ARACARI,PTEROGLOSSUS TORQUATUS
152,COLLARED CRESCENTCHEST,MELANOPAREIA TORQUATA
153,COMMON FIRECREST,REGULUS IGNICAPILLA
154,COMMON GRACKLE,QUISCALUS QUISCULA
155,COMMON HOUSE MARTIN,DELICHON URBICUM
156,COMMON IORA,AEGITHINA TIPHIA
157,COMMON LOON,GAVIA IMMER
158,COMMON POORWILL,PHALAENOPTILUS NUTTALLII
159,COMMON STARLING,STURNUS VULGARIS
160,COPPERSMITH BARBET,MEGALAIMA HAEMACEPHALA
161,COPPERY TAILED COUCAL,CENTROPUS CUPREICAUDUS
162,CRAB PLOVER,DROMAS ARDEOLA
163,CRANE HAWK,GERANOSPIZA CAERULESCENS
164,CREAM COLORED WOODPECKER,CELEUS FLAVUS
165,CRESTED AUKLET,AETHIA CRISTATELLA
166,CRESTED CARACARA,CARACARA CHERIWAY
167,CRESTED COUA,COUA CRISTATA
168,CRESTED FIREBACK,LOPHURA IGNITA
169,CRESTED KINGFISHER,MEGACERYLE LUGUBRIS
170,CRESTED NUTHATCH,SITTA CAROLINENSIS
171,CRESTED OROPENDOLA,PSAROCOLIUS DECUMANUS
172,CRESTED SERPENT EAGLE,SPILORNIS CHEELA
173,CRESTED SHRIKETIT,FALCUNCULUS FRONTATUS
174,CRESTED WOOD PARTRIDGE,ROLLULUS ROULOUL
175,CRIMSON CHAT,EPTHIANURA TRICOLOR
176,CRIMSON SUNBIRD,AETHOPYGA SIPARAJA
177,CROW,CORVUS
178,CUBAN TODY,TODUS MULTICOLOR
179,CUBAN TROGON,PRIOTELUS TEMNURUS
180,CURL CRESTED ARACURI,PTEROGLOSSUS BEAUHARNAESII
181,D-ARNAUDS BARBET,TRACHYPHONUS DARNAUDII
182,DALMATIAN PELICAN,PELECANUS CRISPUS
183,DARJEELING WOODPECKER,DENDROCOPOS DARJELLENSIS
184,DARK EYED JUNCO,JUNCO HYEMALIS
185,DAURIAN REDSTART,PHOENICURUS AUROREUS
186,DEMOISELLE CRANE,GRUS VIRGO
187,DOUBLE BARRED FINCH,TAENIOPYGIA BICHENOVII
188,DOUBLE BRESTED CORMARANT,PHALACROCORAX AURITUS
189,DOUBLE EYED FIG PARROT,CYCLOPSITTA DIOPHTHALMA
190,DOWNY WOODPECKER,PICOIDES PUBESCENS
191,DUSKY LORY,PSEUDEOS FUSCATA
192,DUSKY ROBIN,MELANODRYAS VITTATA
193,EARED PITA,HYDRORNIS PHAYREI
194,EASTERN BLUEBIRD,SIALIA SIALIS
195,EASTERN BLUEBONNET,NORTHIELLA HAEMATOGASTER
196,EASTERN GOLDEN WEAVER,PLOCEUS SUBAUREUS
197,EASTERN MEADOWLARK,STURNELLA MAGNA
198,EASTERN ROSELLA,PLATYCERCUS EXIMIUS
199,EASTERN TOWEE,PIPILO ERYTHROPHTHALMUS
200,EASTERN WIP POOR WILL,ANTROSTOMUS VOCIFERUS
201,EASTERN YELLOW ROBIN,EOPSALTRIA AUSTRALIS
202,ECUADORIAN HILLSTAR,OREOTROCHILUS CHIMBORAZO
203,EGYPTIAN GOOSE,ALOPOCHEN AEGYPTIACA
204,ELEGANT TROGON,TROGON ELEGANS
205,ELLIOTS  PHEASANT,SYRMATICUS ELLIOTI
206,EMERALD TANAGER,TANGARA FLORIDA
207,EMPEROR PENGUIN,APTENODYTES FORSTERI
208,EMU,DROMAIUS NOVAEHOLLANDIAE
209,ENGGANO MYNA,GRACULA ENGANENSIS
210,EURASIAN BULLFINCH,PYRRHULA PYRRHULA
211,EURASIAN GOLDEN ORIOLE,ORIOLUS ORIOLUS
212,EURASIAN MAGPIE,PICA PICA
213,EUROPEAN GOLDFINCH,CARDUELIS CARDUELIS
214,EUROPEAN TURTLE DOVE,STREPTOPELIA TURTUR
215,EVENING GROSBEAK,COCCOTHRAUSTES VESPERTINUS
216,FAIRY BLUEBIRD,IRENA
217,FAIRY PENGUIN,EUDYPTULA MINOR
218,FAIRY TERN,STERNULA NEREIS
219,FAN TAILED WIDOW,EUPLECTES AXILLARIS
220,FASCIATED WREN,CAMPYLORHYNCHUS FASCIATUS
221,FIERY MINIVET,PERICROCOTUS IGNEUS
222,FIORDLAND PENGUIN,EUDYPTES PACHYRHYNCHUS
223,FIRE TAILLED MYZORNIS,MYZORNIS PYRRHOURA
224,FLAME BOWERBIRD,SERICULUS ARDENS
225,FLAME TANAGER,PIRANGA BIDENTATA
226,FOREST WAGTAIL,DENDRONANTHUS INDICUS
227,FRIGATE,FREGATIDAE
228,FRILL BACK PIGEON,COLUMBA LIVIA DOMESTICA
229,GAMBELS QUAIL,CALLIPEPLA GAMBELII
230,GANG GANG COCKATOO,CALLOCEPHALON FIMBRIATUM
231,GILA WOODPECKER,MELANERPES UROPYGIALIS
232,GILDED FLICKER,COLAPTES AURATUS
233,GLOSSY IBIS,PLEGADIS FALCINELLUS
234,GO AWAY BIRD,CORYTHAIXOIDES CONCOLOR
235,GOLD WING WARBLER,VERMIVORA CHRYSOPTERA
236,GOLDEN BOWER BIRD,PRIONODURA NEWTONIANA
237,GOLDEN CHEEKED WARBLER,SETOPHAGA CHRYSOPARIA
238,GOLDEN CHLOROPHONIA,CHLOROPHONIA CALLOPHRYS
239,GOLDEN EAGLE,AQUILA CHRYSAETOS
240,GOLDEN PARAKEET,GUARUBA GUAROUBA
241,GOLDEN PHEASANT,CHRYSOLOPHUS PICTUS
242,GOLDEN PIPIT,TMETOTHYLACUS TENELLUS
243,GOULDIAN FINCH,ERYTHRURA GOULDIAE
244,GRANDALA,GRANDALA COELICOLOR
245,GRAY CATBIRD,DUMETELLA CAROLINENSIS
246,GRAY KINGBIRD,TYRANNUS DOMINICENSIS
247,GRAY PARTRIDGE,PERDIX PERDIX
248,GREAT ARGUS,ARGUSIANUS ARGU
249,GREAT GRAY OWL,STRIX NEBULOSA
250,GREAT JACAMAR,JACAMEROPS AUREUS
251,GREAT KISKADEE,PITANGUS SULPHURATUS
252,GREAT POTOO,NYCTIBIUS GRANDIS
